Mass [m/z],Polarity,Start [min],End [min],nCE,CS [z],Comment
551.775024,Positive,31.962383,36.962383, ,2,MH+1102.542772-Scan#6472
532.289185,Positive,32.016724,37.016724, ,2,MH+1063.571093-Scan#6492
433.239685,Positive,32.054147,37.054147, ,3,MH+1297.704502-Scan#6505
681.302734,Positive,32.102750,37.102750, ,2,MH+1361.598192-Scan#6522
536.277344,Positive,32.110758,37.110758, ,2,MH+1071.547411-Scan#6525
461.914246,Positive,32.120262,37.120262, ,3,MH+1383.728184-Scan#6529
538.793091,Positive,32.134389,37.134389, ,2,MH+1076.578905-Scan#6536
616.296204,Positive,32.209859,37.209859, ,2,MH+1231.585131-Scan#6567
401.525330,Positive,32.214315,37.214315, ,3,MH+1202.561436-Scan#6569
584.792419,Positive,32.225344,37.225344, ,2,MH+1168.577562-Scan#6574
459.230530,Positive,32.236359,37.236359, ,3,MH+1375.677036-Scan#6579
621.289185,Positive,32.295840,37.295840, ,2,MH+1241.571093-Scan#6605
493.253418,Positive,32.356708,37.356708, ,3,MH+1477.745701-Scan#6635
490.321075,Positive,32.438848,37.438848, ,2,MH+979.634874-Scan#6674
731.846313,Positive,32.525589,37.525589, ,2,MH+1462.685350-Scan#6716
897.420471,Positive,32.527147,37.527147, ,2,MH+1793.833666-Scan#6717
626.346802,Positive,32.542941,37.542941, ,2,MH+1251.686327-Scan#6723
719.380127,Positive,32.544482,37.544482, ,2,MH+1437.752977-Scan#6724
442.916351,Positive,32.550301,37.550301, ,3,MH+1326.734501-Scan#6728
428.552795,Positive,32.551809,37.551809, ,3,MH+1283.643833-Scan#6729
729.865845,Positive,32.567551,37.567551, ,2,MH+1458.724413-Scan#6735
631.312073,Positive,32.569113,37.569113, ,2,MH+1261.616869-Scan#6736
584.809937,Positive,32.572182,37.572182, ,2,MH+1168.612596-Scan#6738
502.276428,Positive,32.576776,37.576776, ,2,MH+1003.545580-Scan#6741
578.293579,Positive,32.589197,37.589197, ,2,MH+1155.579882-Scan#6747
642.325745,Positive,32.590739,37.590739, ,2,MH+1283.644213-Scan#6748
575.815918,Positive,32.592280,37.592280, ,2,MH+1150.624559-Scan#6749
617.809753,Positive,32.612570,37.612570, ,2,MH+1234.612230-Scan#6758
515.777039,Positive,32.620205,37.620205, ,2,MH+1030.546801-Scan#6763
600.804077,Positive,32.634153,37.634153, ,2,MH+1200.600878-Scan#6770
784.385376,Positive,32.637226,37.637226, ,2,MH+1567.763475-Scan#6772
749.850403,Positive,32.638767,37.638767, ,2,MH+1498.693529-Scan#6773
669.802734,Positive,32.658978,37.658978, ,2,MH+1338.598192-Scan#6784
520.264709,Positive,32.666647,37.666647, ,2,MH+1039.522142-Scan#6789
404.212677,Positive,32.675850,37.675850, ,3,MH+1210.623478-Scan#6793
652.841797,Positive,32.685128,37.685128, ,2,MH+1304.676317-Scan#6799
584.306702,Positive,32.697550,37.697550, ,2,MH+1167.606127-Scan#6805
550.317810,Positive,32.699075,37.699075, ,2,MH+1099.628343-Scan#6806
486.769012,Positive,32.716150,37.716150, ,2,MH+972.530748-Scan#6815
597.800964,Positive,32.731598,37.731598, ,2,MH+1194.594652-Scan#6822
573.800110,Positive,32.733134,37.733134, ,2,MH+1146.592943-Scan#6823
605.336304,Positive,32.837429,37.837429, ,2,MH+1209.665331-Scan#6875
534.796387,Positive,32.877796,37.877796, ,2,MH+1068.585497-Scan#6897
509.764099,Positive,32.885727,37.885727, ,2,MH+1018.520922-Scan#6900
474.571198,Positive,32.913649,37.913649, ,3,MH+1421.699039-Scan#6916
765.343201,Positive,32.932456,37.932456, ,2,MH+1529.679125-Scan#6924
732.897827,Positive,32.937047,37.937047, ,2,MH+1464.788378-Scan#6927
479.753784,Positive,32.942881,37.942881, ,2,MH+958.500292-Scan#6931
667.834290,Positive,32.966291,37.966291, ,2,MH+1334.661302-Scan#6942
697.821350,Positive,32.975735,37.975735, ,2,MH+1394.635424-Scan#6946
571.285706,Positive,33.006110,38.006110, ,2,MH+1141.564135-Scan#6958
539.272400,Positive,33.071295,38.071295, ,2,MH+1077.537523-Scan#6988
558.309265,Positive,33.156246,38.156246, ,2,MH+1115.611254-Scan#7025
529.775452,Positive,33.171836,38.171836, ,2,MH+1058.543627-Scan#7033
510.256561,Positive,33.179724,38.179724, ,2,MH+1019.505846-Scan#7036
611.283386,Positive,33.195165,38.195165, ,2,MH+1221.559496-Scan#7041
430.544678,Positive,33.235473,38.235473, ,3,MH+1289.619480-Scan#7060
675.322144,Positive,33.255690,38.255690, ,2,MH+1349.637010-Scan#7071
555.612305,Positive,33.267129,38.267129, ,3,MH+1664.822361-Scan#7075
520.265076,Positive,33.345194,38.345194, ,2,MH+1039.522875-Scan#7114
687.328491,Positive,33.360884,38.360884, ,2,MH+1373.649706-Scan#7122
677.820374,Positive,33.363943,38.363943, ,2,MH+1354.633470-Scan#7124
680.819763,Positive,33.374683,38.374683, ,2,MH+1360.632250-Scan#7131
514.283691,Positive,33.393664,38.393664, ,2,MH+1027.560106-Scan#7139
496.259186,Positive,33.411987,38.411987, ,2,MH+991.511095-Scan#7149
569.290222,Positive,33.441562,38.441562, ,2,MH+1137.573168-Scan#7164
517.290161,Positive,33.443093,38.443093, ,2,MH+1033.573046-Scan#7165
480.743378,Positive,33.444618,38.444618, ,2,MH+960.479479-Scan#7166
412.921173,Positive,33.467860,38.467860, ,3,MH+1236.748966-Scan#7179
444.224884,Positive,33.503943,38.503943, ,3,MH+1330.660099-Scan#7197
462.566467,Positive,33.519538,38.519538, ,3,MH+1385.684849-Scan#7205
429.540894,Positive,33.521047,38.521047, ,3,MH+1286.608127-Scan#7206
671.345642,Positive,33.552226,38.552226, ,2,MH+1341.684008-Scan#7221
535.288513,Positive,33.566272,38.566272, ,2,MH+1069.569750-Scan#7228
456.906677,Positive,33.567817,38.567817, ,3,MH+1368.705478-Scan#7229
447.899658,Positive,33.569326,38.569326, ,3,MH+1341.684421-Scan#7230
544.277405,Positive,33.626784,38.626784, ,2,MH+1087.547533-Scan#7259
776.346619,Positive,33.629853,38.629853, ,2,MH+1551.685961-Scan#7261
449.912079,Positive,33.656165,38.656165, ,3,MH+1347.721683-Scan#7276
725.355770,Positive,33.674982,38.674982, ,2,MH+1449.704263-Scan#7284
549.608215,Positive,33.678034,38.678034, ,3,MH+1646.810093-Scan#7286
655.825562,Positive,33.699663,38.699663, ,2,MH+1310.643846-Scan#7298
496.582489,Positive,33.704265,38.704265, ,3,MH+1487.732914-Scan#7301
692.833679,Positive,33.728302,38.728302, ,2,MH+1384.660082-Scan#7315
473.259644,Positive,33.734655,38.734655, ,3,MH+1417.764377-Scan#7317
538.767700,Positive,33.745417,38.745417, ,2,MH+1076.528124-Scan#7324
433.885071,Positive,33.755848,38.755848, ,3,MH+1299.640659-Scan#7329
644.826233,Positive,33.757389,38.757389, ,2,MH+1288.645189-Scan#7330
670.848755,Positive,33.771446,38.771446, ,2,MH+1340.690233-Scan#7337
608.817322,Positive,33.776066,38.776066, ,2,MH+1216.627367-Scan#7340
591.326416,Positive,33.777591,38.777591, ,2,MH+1181.645555-Scan#7341
567.780090,Positive,33.785489,38.785489, ,2,MH+1134.552904-Scan#7344
419.271423,Positive,33.814825,38.814825, ,2,MH+837.535570-Scan#7361
631.824219,Positive,33.843129,38.843129, ,2,MH+1262.641161-Scan#7373
447.235931,Positive,33.849243,38.849243, ,3,MH+1339.693241-Scan#7377
513.930786,Positive,33.869483,38.869483, ,3,MH+1539.777805-Scan#7388
507.275452,Positive,33.889656,38.889656, ,3,MH+1519.811802-Scan#7399
719.007324,Positive,33.918029,38.918029, ,3,MH+2155.007419-Scan#7411
484.272339,Positive,33.941270,38.941270, ,2,MH+967.537401-Scan#7424
670.351013,Positive,33.961080,38.961080, ,2,MH+1339.694750-Scan#7432
533.589172,Positive,33.978934,38.978934, ,3,MH+1598.752964-Scan#7441
642.361755,Positive,33.988432,38.988432, ,3,MH+1925.070713-Scan#7445
572.302856,Positive,33.989957,38.989957, ,2,MH+1143.598436-Scan#7446
799.879578,Positive,34.009043,39.009043, ,2,MH+1598.751879-Scan#7456
544.264771,Positive,34.041867,39.041867, ,2,MH+1087.522264-Scan#7472
496.806732,Positive,34.043392,39.043392, ,2,MH+992.606188-Scan#7473
702.854553,Positive,34.076084,39.076084, ,2,MH+1404.701830-Scan#7490
609.812073,Positive,34.094971,39.094971, ,2,MH+1218.616869-Scan#7498
580.783875,Positive,34.096498,39.096498, ,2,MH+1160.560472-Scan#7499
475.244720,Positive,34.098026,39.098026, ,3,MH+1423.719608-Scan#7500
688.344360,Positive,34.118252,39.118252, ,2,MH+1375.681444-Scan#7511
439.545654,Positive,34.139840,39.139840, ,3,MH+1316.622410-Scan#7522
697.361816,Positive,34.150771,39.150771, ,2,MH+1393.716356-Scan#7527
620.324280,Positive,34.152313,39.152313, ,2,MH+1239.641283-Scan#7528
433.893524,Positive,34.158415,39.158415, ,3,MH+1299.666019-Scan#7532
413.885345,Positive,34.162694,39.162694, ,3,MH+1239.641483-Scan#7535
766.377441,Positive,34.190648,39.190648, ,2,MH+1531.747606-Scan#7549
554.830750,Positive,34.203058,39.203058, ,2,MH+1108.654222-Scan#7555
721.858276,Positive,34.210171,39.210171, ,2,MH+1442.709276-Scan#7560
847.859070,Positive,34.218002,39.218002, ,2,MH+1694.710863-Scan#7563
678.353638,Positive,34.227365,39.227365, ,2,MH+1355.699999-Scan#7567
620.323547,Positive,34.228907,39.228907, ,2,MH+1239.639818-Scan#7568
598.784851,Positive,34.230431,39.230431, ,2,MH+1196.562426-Scan#7569
647.827148,Positive,34.236598,39.236598, ,2,MH+1294.647020-Scan#7573
538.276794,Positive,34.241216,39.241216, ,2,MH+1075.546312-Scan#7576
595.633606,Positive,34.256720,39.256720, ,3,MH+1784.886265-Scan#7584
465.775024,Positive,34.260760,39.260760, ,2,MH+930.542772-Scan#7587
662.345886,Positive,34.268602,39.268602, ,2,MH+1323.684496-Scan#7590
623.306152,Positive,34.274792,39.274792, ,2,MH+1245.605028-Scan#7594
566.776733,Positive,34.276318,39.276318, ,2,MH+1132.546190-Scan#7595
650.334839,Positive,34.286723,39.286723, ,2,MH+1299.662401-Scan#7600
658.351318,Positive,34.291179,39.291179, ,2,MH+1315.695360-Scan#7603
654.837036,Positive,34.300112,39.300112, ,2,MH+1308.666796-Scan#7609
844.866882,Positive,34.309518,39.309518, ,2,MH+1688.726488-Scan#7613
892.948242,Positive,34.311077,39.311077, ,2,MH+1784.889208-Scan#7614
690.323425,Positive,34.314160,39.314160, ,2,MH+1379.639574-Scan#7616
456.746094,Positive,34.345810,39.345810, ,2,MH+912.484911-Scan#7633
430.711670,Positive,34.347066,39.347066, ,2,MH+860.416063-Scan#7634
548.518311,Positive,34.356074,39.356074, ,4,MH+2191.051412-Scan#7640
460.923828,Positive,34.357331,39.357331, ,3,MH+1380.756931-Scan#7641
675.341003,Positive,34.368243,39.368243, ,2,MH+1349.674730-Scan#7646
669.349365,Positive,34.372889,39.372889, ,3,MH+2006.033542-Scan#7649
583.839661,Positive,34.374414,39.374414, ,2,MH+1166.672045-Scan#7650
504.246033,Positive,34.378991,39.378991, ,2,MH+1007.484789-Scan#7653
525.785950,Positive,34.391372,39.391372, ,2,MH+1050.564623-Scan#7659
429.248627,Positive,34.394155,39.394155, ,2,MH+857.489977-Scan#7661
693.845947,Positive,34.405062,39.405062, ,2,MH+1386.684618-Scan#7666
586.648438,Positive,34.415993,39.415993, ,3,MH+1757.930759-Scan#7671
628.814148,Positive,34.419076,39.419076, ,2,MH+1256.621019-Scan#7673
912.443115,Positive,34.442079,39.442079, ,2,MH+1823.878954-Scan#7684
622.319275,Positive,34.452903,39.452903, ,2,MH+1243.631273-Scan#7691
619.825989,Positive,34.454445,39.454445, ,2,MH+1238.644701-Scan#7692
581.782715,Positive,34.455972,39.455972, ,2,MH+1162.558153-Scan#7693
572.776062,Positive,34.462272,39.462272, ,2,MH+1144.544847-Scan#7695
634.314453,Positive,34.471524,39.471524, ,2,MH+1267.621630-Scan#7701
453.242432,Positive,34.490634,39.490634, ,4,MH+1809.947897-Scan#7712
450.266663,Positive,34.491893,39.491893, ,2,MH+899.526049-Scan#7713
432.241821,Positive,34.493259,39.493259, ,3,MH+1294.710911-Scan#7714
429.585114,Positive,34.494517,39.494517, ,3,MH+1286.740787-Scan#7715
643.874084,Positive,34.513228,39.513228, ,2,MH+1286.740892-Scan#7725
512.286499,Positive,34.521047,39.521047, ,2,MH+1023.565721-Scan#7728
496.279083,Positive,34.522305,39.522305, ,2,MH+991.550890-Scan#7729
425.553436,Positive,34.523561,39.523561, ,3,MH+1274.645756-Scan#7730
647.859375,Positive,34.526663,39.526663, ,2,MH+1294.711473-Scan#7732
561.289429,Positive,34.528192,39.528192, ,3,MH+1681.853733-Scan#7733
527.749512,Positive,34.531244,39.531244, ,2,MH+1054.491747-Scan#7735
480.282990,Positive,34.534028,39.534028, ,2,MH+959.558702-Scan#7737
737.112000,Positive,34.546236,39.546236, ,4,MH+2945.426168-Scan#7743
554.807312,Positive,34.550569,39.550569, ,2,MH+1108.607347-Scan#7746
542.795715,Positive,34.553621,39.553621, ,2,MH+1084.584154-Scan#7748
656.815247,Positive,34.599183,39.599183, ,2,MH+1312.623217-Scan#7772
584.277466,Positive,34.609898,39.609898, ,2,MH+1167.547655-Scan#7779
473.275269,Positive,34.619255,39.619255, ,2,MH+945.543260-Scan#7783
436.754028,Positive,34.620513,39.620513, ,2,MH+872.500780-Scan#7784
549.611755,Positive,34.622038,39.622038, ,3,MH+1646.820713-Scan#7785
823.912720,Positive,34.623613,39.623613, ,2,MH+1646.818163-Scan#7786
596.325928,Positive,34.626681,39.626681, ,2,MH+1191.644579-Scan#7788
982.476807,Positive,34.643663,39.643663, ,3,MH+2945.415867-Scan#7797
665.352905,Positive,34.651419,39.651419, ,2,MH+1329.698534-Scan#7802
541.254333,Positive,34.652946,39.652946, ,2,MH+1081.501390-Scan#7803
517.763123,Positive,34.665037,39.665037, ,2,MH+1034.518968-Scan#7809
401.225708,Positive,34.667985,39.667985, ,3,MH+1201.662571-Scan#7810
622.340088,Positive,34.678904,39.678904, ,2,MH+1243.672899-Scan#7815
534.815613,Positive,34.698996,39.698996, ,2,MH+1068.623949-Scan#7826
450.751831,Positive,34.703192,39.703192, ,2,MH+900.496385-Scan#7829
850.400269,Positive,34.733314,39.733314, ,2,MH+1699.793260-Scan#7845
775.855957,Positive,34.747499,39.747499, ,2,MH+1550.704637-Scan#7850
416.732819,Positive,34.754633,39.754633, ,2,MH+832.458361-Scan#7855
780.871155,Positive,34.757720,39.757720, ,2,MH+1560.735033-Scan#7857
706.345459,Positive,34.767127,39.767127, ,2,MH+1411.683641-Scan#7861
700.843018,Positive,34.768668,39.768668, ,2,MH+1400.678759-Scan#7862
500.749725,Positive,34.777802,39.777802, ,2,MH+1000.492174-Scan#7866
650.818787,Positive,34.798897,39.798897, ,2,MH+1300.630297-Scan#7878
795.403992,Positive,34.809729,39.809729, ,2,MH+1589.800707-Scan#7882
552.737488,Positive,34.817422,39.817422, ,2,MH+1104.467699-Scan#7887
515.820251,Positive,34.818947,39.818947, ,2,MH+1030.633226-Scan#7888
459.259766,Positive,34.820205,39.820205, ,2,MH+917.512255-Scan#7889
450.711731,Positive,34.832875,39.832875, ,2,MH+900.416185-Scan#7893
480.746155,Positive,34.837364,39.837364, ,2,MH+960.485033-Scan#7896
502.771027,Positive,34.880724,39.880724, ,2,MH+1004.534777-Scan#7917
426.717529,Positive,34.886362,39.886362, ,2,MH+852.427782-Scan#7921
813.378845,Positive,34.895807,39.895807, ,2,MH+1625.750414-Scan#7925
569.782227,Positive,34.898880,39.898880, ,2,MH+1138.557176-Scan#7927
537.778992,Positive,34.923851,39.923851, ,2,MH+1074.550707-Scan#7939
706.872131,Positive,34.925395,39.925395, ,2,MH+1412.736986-Scan#7940
566.272095,Positive,34.951949,39.951949, ,2,MH+1131.536913-Scan#7953
718.366699,Positive,34.969303,39.969303, ,2,MH+1435.726122-Scan#7960
506.245300,Positive,35.008028,40.008028, ,2,MH+1011.483324-Scan#7981
496.742279,Positive,35.026696,40.026696, ,2,MH+992.477281-Scan#7991
